Word	IPA transcription
Ясер	j a s e r
Арафат	a r a f ɐ t
симпатии	s i m p a t i i
палестинската	p ɐ l e s t i n s k a t ɐ
кауза	k a u z ɐ
състезаващите	s ə s t e z ɐ v a ʃ t i t e
отнела	o t n e ɫ ɐ
радостно	r a d o s t n o
кесията	k e s i j a t ɐ
тавана	t a v a n ɐ
горко	ɡ o r k o
следвало	s l e d v a ɫ o
безхаберно	b e s x a b e r n o
съзерцават	s ə z e r t s a v ɐ t
агонията	ɐ ɡ o n i j a t ɐ
захарната	z ɐ x a r n a t ɐ
разпространените	r ɐ s p r o s t r ɐ n e n i t e
бодигардове	b o d i ɡ a r d o v e
американсото	ɐ m e r i k a n s o t o
командване	k o m a n d v a n e
алтернативите	ɐ ɫ t e r n ɐ t i v i t e
диспечерски	d i s p e t ʃ e r s k i
наричащи	n ɐ r i t ʃ a ʃ t i
измишльотини	i z m i ʃ l o t i n i
партийното	p ɐ r t i j n o t o
изглеждаха	i z ɡ l e ʒ d a x ɐ
изнервени	i z n e r v e n i
имахме	i m a x m e
мастодонти	m ɐ s t o d o n t i
депутатския	d e p u t a t s k i j ɐ
реагирахме	r e ɐ ɡ i r a x m e
предвиждало	p r e d v i ʒ d a ɫ o
фокусиране	f o k u s i r a n e
слави	s ɫ a v i
рекламни	r e k ɫ a m n i
химикалки	ʃ i m i k a ɫ k i
сегашни	s e ɡ a ʃ n i
Ралчев	r a ɫ t ʃ e f
ритуали	r i t u a l i
претендентите	p r e t e n d e n t i t e
женен	ʒ e n e n
бегло	b e ɡ ɫ o
делата	d e ɫ a t ɐ
мене	m e n e
сговор	z ɡ o v o r
допускане	d o p u s k a n e
едри	e d r i
свършили	s v ə r ʃ i l i
изпуснаха	i s p u s n a x ɐ
представяла	p r e t s t a vʲ a ɫ ɐ
кръстопът	k r ə s t o p ə t
цивилизациите	t s i v i l i z ɐ t s i i t e
изкупила	i s k u p i ɫ ɐ
жестовете	ʒ e s t o v e t e
аут	a u t
мандатоносителят	m ɐ n d ɐ t o n o s i t e l ɐ t
предишното	p r e d i ʃ n o t o
Оборище	o b o r i ʃ t e
Тошо	t o ʃ o
Пейков	p e j k o f
измерват	i z m e r v ɐ t
периферни	p e r i f e r n i
сватбата	s v a d b a t ɐ
Йончева	j o n t ʃ e v ɐ
разполагащи	r ɐ s p o ɫ a ɡ a ʃ t i
по-конкуренто-способни	p o k o n k u r e n t o s p o s o b n i
накратко	n a k r a t k o
изгодите	i z ɡ o d i t e
монолитен	m o n o l i t e n
познаващи	p o z n a v a ʃ t i
купуващи	k u p u v a ʃ t i
отчаяние	o t t ʃ a j a n i e
казуса	k a z u s ɐ
смесване	s m e s v a n e
роли	r o l i
социолога	s o t s i o ɫ o ɡ ɐ
политолога	p o l i t o ɫ o ɡ ɐ
коментатор	k o m e n t a t o r
сигналът	s i ɡ n a ɫ ə t
сериозните	s e r i o z n i t e
преустановена	p r e u s t a n o v e n ɐ
четящите	t ʃ e tʲ a ʃ t i t e
гледащите	ɡ l e d a ʃ t i t e
слушащите	s ɫ u ʃ a ʃ t i t e
четири-пет	t ʃ e t i r i p e t
гарант	ɡ a r a n t
бъдещо	b ə d e ʃ t o
провъзгласи	p r o v ə z ɡ ɫ a s i
скача	s k a t ʃ ɐ
отведнъж	o t v e d n ə ʃ
компенсациите	k o m p e n s ɐ t s i i t e
отключен	o t k l u t ʃ e n
традиционалистка	t r ɐ d i t s i o n a l i s t k ɐ
импулсивно	i m p u ɫ s i v n o
носителят	n o s i t e l ɐ t
Нобелова	n o b e ɫ o v ɐ
мир	m i r
Шимон	ʃ i m o n
зове	z o v e
целеустремено	t s e l e u s t r e m e n o
търговата	t ə r ɡ o v a t ɐ
лични	l i t ʃ n i
джобове	d ʒ o b o v e
геометрична	ɡ e o m e t r i t ʃ n ɐ
прогресия	p r o ɡ r e s i j ɐ
еуфория	e u f o r i j ɐ
подлага	p o d ɫ a ɡ ɐ
трезв	t r e z f
критичен	k r i t i t ʃ e n
психолозите	p s i x o ɫ o z i t e
богата	b o ɡ a t ɐ
рационално	r ɐ t s i o n a ɫ n o
мотивирани	m o t i v i r a n i
импулсивни	i m p u ɫ s i v n i
самозащитни	s ɐ m o z a ʃ t i t n i
поведения	p o v e d e n i j ɐ
заучена	z ɐ u t ʃ e n ɐ
безпомощност	b e s p o m o ʃ t n o s t
дезадаптация	d e z ɐ d a p t a t s i ɐ
хроничен	x r o n i t ʃ e n
осъществили	o s ə ʃ t e s t v i l i
преизбраният	p r e i z b r a n i j ɐ t
малката	m a ɫ k a t ɐ
поглъща	p o ɡ ɫ ə ʃ t ɐ
Гданска	ɡ d a n s k ɐ
лицензът	l i t s e n z ə t
осемнадесети	o s e m n ɐ d e s e t i
фалираха	f ɐ l i r a x ɐ
постигаше	p o s t i ɡ a ʃ e
уволнихме	u v o ɫ n i x m e
лишили	l i ʃ i l i
изведени	i z v e d e n i
принадлежността	p r i n ɐ d l e ʒ n o s t̪ ɐ
тегленето	t e ɡ l e n e t o
гурбет	ɡ u r b e t
утвърди	u t v ə r d i
назначаване	n ɐ z n ɐ t ʃ a v a n e
ценностите	t s e n n o s t i t e
гравитират	ɡ r ɐ v i t i r ɐ t
десноцентристката	d e s n o t s e n t r i s t k a t ɐ
идеология	i d e o ɫ o ɡ i j ɐ
попитан	p o p i t ɐ n
предпочита	p r e t p o t ʃ i t ɐ
попълнения	p o p ə ɫ n e n i j ɐ
Роберт	r o b e r t
нартвиг	n a r t v i k
отговорни	o d ɡ o v o r n i
поела	p o e ɫ ɐ
Кранцлер	k r a n t s l e r
приватизираните	p r i v ɐ t i z i r a n i t e
човече	t ʃ o v e t ʃ e
гласувай	ɡ ɫ a s u v ɐ j
обучава	o b u t ʃ a v ɐ
стиловете	s t i ɫ o v e t e
мобилизират	m o b i l i z i r ɐ t
внушаваха	v n u ʃ a v a x ɐ
скритата	s k r i t a t ɐ
напук	n a p u k
възраженията	v ə z r ɐ ʒ e n i j a t ɐ
Я	j a
танц	t a n t s
изготвянето	i z ɡ o t vʲ a n e t o
института	i n s t i t u t ɐ
доброволни	d o b r o v o ɫ n i
начала	n a t ʃ a ɫ ɐ
инициативността	i n i t s i ɐ t i v n o s t̪ ɐ
Видео	v i d e o
Ниас	n i ɐ s
вълните	v ə ɫ n i t e
помели	p o m e l i
сърфисти	s ə r f i s t i
идеалните	i d e a ɫ n i t e
хобито	x o b i t o
разгледана	r ɐ z ɡ l e d a n ɐ
републиканско	r e p u b l i k a n s k o
областно	o b ɫ a s t n o
Воденов	v o d e n o f
бавния	b a v n i j ɐ
кит	k i t
облегнат	o b l e ɡ n ɐ t
соцстратезите	s o t s s t r ɐ t e z i t e
вечно	v e t ʃ n o
розови	r o z o v i
Сиал	s i ɐ ɫ
блестящият	b l e s tʲ a ʃ t i j ɐ t
Тошева	t o ʃ e v ɐ
младия	m ɫ a d i j ɐ
амбициозен	ɐ m b i t s i o z e n
предстояло	p r e t s t o j a ɫ o
най-трудното	n a j t r u d n o t o
изпадат	i s p a d ɐ t
своенравие	s v o e n r a v i e
поддават	p o d d a v ɐ t
дресировка	d r e s i r o f k ɐ
щото	ʃ t o t o
най-атрактивни	n a j ɐ t r a k t i v n i
подценяват	p o t t s e ɲ a v ɐ t
групите	ɡ r u p i t e
вкарани	f k a r a n i
най-апетитните	n a j ɐ p e t i t n i t e
анонимно	ɐ n o n i m n o
рейнджър	r e j n d ʒ ə r
Аичи	a i t ʃ i
големината	ɡ o l e m i n a t ɐ
оптимумът	o p t i m u m ə t
повишило	p o v i ʃ i ɫ o
съмняваха	s ə m ɲ a v a x ɐ
способни	s p o s o b n i
най-сложните	n a j s ɫ o ʒ n i t e
непоколебима	n e p o k o l e b i m ɐ
вяра	vʲ a r ɐ
покана	p o k a n ɐ
високотехнологичното	v i s o k o t e x n o ɫ o ɡ i t ʃ n o t o
китайските	k i t a j s k i t e
азиатските	ɐ z i a t s k i t e
внушава	v n u ʃ a v ɐ
безизходица	b e z i s x o d i t s ɐ
по-пъстро	p o p ə s t r o
никнат	n i k n ɐ t
гъби	ɡ ə b i
акционерната	ɐ k t s i o n e r n a t ɐ
висш	v i s ʃ
доставяйки	d o s t a vʲ a j k i
газ	ɡ a s
пречат	p r e t ʃ ɐ t
султанът	s u ɫ t a n ə t
Бруней	b r u n e j
разтакавали	r ɐ s t ɐ k a v a l i
рамката	r a m k a t ɐ
Ива	i v ɐ
снощи	s n o ʃ t i
Петев	p e t e f
прицела	p r i t s e ɫ ɐ
ухажвана	u x a ʒ v a n ɐ
недоверчивостта	n e d o v e r t ʃ i v o s t̪ ɐ
вечерните	v e t ʃ e r n i t e
съботните	s ə b o t n i t e
сутрешните	s u t r e ʃ n i t e
следобедните	s l e d o b e d n i t e
разтърсиха	r ɐ s t ə r s i x ɐ
Североизточна	s e v e r o i s t o t ʃ n ɐ
най-очевидната	n a j o t ʃ e v i d n a t ɐ
особеност	o s o b e n o s t
поисканата	p o i s k a n a t ɐ
аналогичните	ɐ n ɐ ɫ o ɡ i t ʃ n i t e
намести	n a m e s t i
непознатата	n e p o z n a t a t ɐ
качествените	k ɐ t ʃ e s t v e n i t e
обученият	o b u t ʃ e n i j ɐ t
предпоставки	p r e t p o s t a f k i
почисти	p o t ʃ i s t i
предвижданата	p r e d v i ʒ d a n a t ɐ
увенчана	u v e n t ʃ a n ɐ
доказвала	d o k a z v a ɫ ɐ
непривързаност	n e p r i v ə r z a n o s t
тежък	t e ʒ ə k
потвърждението	p o t v ə r ʒ d e n i e t o
координацията	k o o r d i n a t s i ɐ t ɐ
оперативното	o p e r ɐ t i v n o t o
взаимодействие	v z ɐ i m o d e j s t v i e
съюзниците	s ə j u z n i t s i t e
валута	v a ɫ u t ɐ
легално	l e ɡ a ɫ n o
хикс	ʃ i k s
игрек	i ɡ r e k
легална	l e ɡ a ɫ n ɐ
ударен	u d a r e n
най-възрастния	n a j v ə z r a s t n i j ɐ
инцидентно	i n t s i d e n t n o
подсказва	p o t s k a z v ɐ
коридорите	k o r i d o r i t e
разказва	r a s k a z v ɐ
паника	p a n i k ɐ
звена	z v e n ɐ
съвместителство	s ə v m e s t i t e ɫ s t v o
произведеното	p r o i z v e d e n o t o
Югоизточният	j u ɡ o i s t o t ʃ n i j ɐ t
Южният	j u ʒ n i j ɐ t
весело	v e s e ɫ o
пие	p i e
преодолеете	p r e o d o l e e t e
погрешно	p o ɡ r e ʃ n o
схващане	s x v a ʃ t a n e
пролетните	p r o l e t n i t e
ругае	r u ɡ a e
аморалност	ɐ m o r a ɫ n o s t
говорил	ɡ o v o r i ɫ
открила	o t k r i ɫ ɐ
видео	v i d e o
взело	v z e ɫ o
успоредно	u s p o r e d n o
стопанисва	s t o p a n i s v ɐ
търгуващото	t ə r ɡ u v a ʃ t o t o
Буров	b u r o f
най-популярните	n a j p o p u l a r n i t e
датския	d a t s k i j ɐ
най-значимите	n a j z n ɐ t ʃ i m i t e
пера	p e r ɐ
отоплението	o t o p l e n i e t o
вентилацията	v e n t i ɫ a t s i ɐ t ɐ
климатикът	k l i m a t i k ə t
обещани	o b e ʃ t a n i
надхвърляли	n ɐ t x v ə r l a l i
Сова	s o v ɐ
Логос-ТМ	ɫ o ɡ o s t ə m ə
Финансовата	f i n ɐ n s o v a t ɐ
Лидекс	l i d e k s
Консултантска	k o n s u ɫ t a n t s k ɐ
Феникс	f e n i k s
Бета	b e t ɐ
корп	k o r p
предупредиха	p r e d u p r e d i x ɐ
изпитани	i s p i t a n i
изпратим	i s p r a t i m
предупредим	p r e d u p r e d i m
произтичащи	p r o i s t i t ʃ a ʃ t i
правителствената	p r ɐ v i t e ɫ s t v e n a t ɐ
спедицията	s p e d i t s i j a t ɐ
брутни	b r u t n i
паричният	p ɐ r i t ʃ n i j ɐ t
агрегат	ɐ ɡ r e ɡ a t
по-централно	p o t s e n t r a ɫ n o
склад	s k ɫ a t
надминават	n ɐ d m i n a v ɐ t
знаейки	z n a e j k i
измъкне	i z m ə k n e
способно	s p o s o b n o
подиграваха	p o d i ɡ r a v a x ɐ
мощно	m o ʃ t n o
непрестанно	n e p r e s t a n n o
отзвук	o d z v u k
противодействието	p r o t i v o d e j s t v i e t o
глобяваме	ɡ ɫ o bʲ a v a m e
най-заклетите	n a j z ɐ k l e t i t e
подозирани	p o d o z i r a n i
черно-бяло	t ʃ e r n o bʲ a ɫ o
пропаганден	p r o p a ɡ a n d e n
запазената	z ɐ p ɐ z e n a t ɐ
безумни	b e z u m n i
драгия	d r a ɡ i j ɐ
командването	k o m ɐ n d v a n e t o
Закавказието	z ɐ k ɐ f k ɐ z i e t o
твърденията	t v ə r d e n i j a t ɐ
арестуван	ɐ r e s t u v ɐ n
Стоилов	s t o i ɫ o f
късогледи	k ə s o ɡ l e d i
схванат	s x v a n ɐ t
многофункционалност	m n o ɡ o f u n k t s i o n a ɫ n o s t
местоположението	m e s t o p o ɫ o ʒ e n i e t o
Орифлейм	o r i f l e j m
Офис	o f i s
суперстор	s u p e r s t o r
Метро	m e t r o
изкарали	i s k a r a l i
Радата	r a d a t ɐ
дадох	d a d o x
краен	k r a e n
ставали	s t a v a l i
увенча	u v e n t ʃ ɐ
деветата	d e v e t a t ɐ
терем	t e r e m
почивната	p o t ʃ i v n a t ɐ
Смокините	s m o k i n i t e
Созопол	s o z o p o ɫ
мираж	m i r a ʃ
разпространена	r ɐ s p r o s t r a n e n ɐ
секунда	s e k u n d ɐ
факторинга	f ɐ k t o r i n ɡ ɐ
влага	v ɫ a ɡ ɐ
инсулин	i n s u l i n
тест-лентички	t e s t l e n t i t ʃ k i
неосъзнати	n e o s ə z n a t i
страхове	s t r a x o v e
корема	k o r e m ɐ
доказана	d o k a z a n ɐ
правилен	p r a v i l e n
Филипов	f i l i p o f
транспортна	t r a n s p o r t n ɐ
криминалистите	k r i m i n ɐ l i s t i t e
Както	k a k t o
съставят	s ə s t a vʲ ɐ t
твърдял	t v ə r dʲ ɐ ɫ
отслаби	o t s ɫ a b i
Янаки	j a n a k i
загадка	z a ɡ a t k ɐ
гранатата	ɡ r ɐ n a t a t ɐ
пренесена	p r e n e s e n ɐ
металотърсачите	m e t ɐ ɫ o t ə r s a t ʃ i t e
безпрецедентните	b e s p r e t s e d e n t n i t e
сесии	s e s i i
дискутирани	d i s k u t i r a n i
централизиран	t s e n t r ɐ l i z i r ɐ n
класическата	k ɫ ɐ s i t ʃ e s k a t ɐ
календар	k ɐ l e n d a r
паднаха	p a d n a x ɐ
равноправен	r ɐ v n o p r a v e n
диспути	d i s p u t i
резервите	r e z e r v i t e
дотолкова	d o t o ɫ k o v ɐ
по-морални	p o m o r a ɫ n i
славят	s ɫ a vʲ ɐ t
убеждение	u b e ʒ d e n i e
потекло	p o t e k ɫ o
Окръжната	o k r ə ʒ n a t ɐ
британската	b r i t a n s k a t ɐ
жизненоважни	ʒ i z n e n o v a ʒ n i
възприетата	v ə s p r i e t a t ɐ
чудна	t ʃ u d n ɐ
светли	s v e t l i
съчиняват	s ə t ʃ i ɲ a v ɐ t
знакови	z n a k o v i
легитимират	l e ɡ i t i m i r ɐ t
кандидат-студенти	k ɐ n d i d a t s t u d e n t i
диплома	d i p ɫ o m ɐ
подписите	p o t p i s i t e
съседни	s ə s e d n i
експресен	e k s p r e s e n
пасажерски	p ɐ s a ʒ e r s k i
направлението	n ɐ p r ɐ v l e n i e t o
Солун	s o ɫ u n
овощен	o v o ʃ t e n
лозовопосадъчен	ɫ o z o v o p o s a d ə t ʃ e n
регулиращи	r e ɡ u l i r a ʃ t i
изтеглени	i s t e ɡ l e n i
засилените	z ɐ s i l e n i t e
въведени	v ə v e d e n i
устройствения	u s t r o j s t v e n i j ɐ
недостатък	n e d o s t a t ə k
незабавното	n e z ɐ b a v n o t o
концесионните	k o n t s e s i o n n i t e
по-крайните	p o k r a j n i t e
снижава	s n i ʒ a v ɐ
пресмятат	p r e s mʲ a t ɐ t
лабораторията	ɫ ɐ b o r ɐ t o r i j a t ɐ
